RSSI,Timestamp
-52,14:51:18.786357
-40,14:51:18.815461
-38,14:51:18.848604
-40,14:51:18.871457
-46,14:51:18.879473
-38,14:51:18.895112
-45,14:51:18.907590
-44,14:51:18.926199
-48,14:51:18.934837
-40,14:51:18.945051
-45,14:51:18.959925
-48,14:51:18.969345
-42,14:51:18.976552
-38,14:51:18.989550
-65,14:51:18.998038
-40,14:51:19.022734
-40,14:51:19.056994
-40,14:51:19.073418
-48,14:51:19.080053
-46,14:51:19.087553
-40,14:51:19.093227
-38,14:51:19.098929
-64,14:51:19.105474
-40,14:51:19.114304
-40,14:51:19.119682
-42,14:51:19.128931
-38,14:51:19.146294
-42,14:51:19.152055
-50,14:51:19.158012
-50,14:51:19.165011
-52,14:51:19.171996
-36,14:51:19.203520
-38,14:51:19.227179
-38,14:51:19.244185
-47,14:51:19.250536
-50,14:51:19.259710
-51,14:51:19.271037
-40,14:51:19.291016
-42,14:51:19.302829
-42,14:51:19.310337
-54,14:51:19.318756
-38,14:51:19.341250
-42,14:51:19.351089
-54,14:51:19.364205
-38,14:51:19.373444
-38,14:51:19.383837
-47,14:51:19.396757
-38,14:51:19.418812
-63,14:51:19.426243
-47,14:51:19.432495
-38,14:51:19.438400
-38,14:51:19.444660
-38,14:51:19.464168
-38,14:51:19.486936
-38,14:51:19.513878
-44,14:51:19.527172
-38,14:51:19.538331
-46,14:51:19.550041
-38,14:51:19.556197
-46,14:51:19.563149
-38,14:51:19.571365
-36,14:51:19.593727
-38,14:51:19.612271
-38,14:51:19.637008
-49,14:51:19.646278
-57,14:51:19.661891
-58,14:51:19.672810
-50,14:51:19.680173
-56,14:51:19.691287
-57,14:51:19.701865
-47,14:51:19.709032
-56,14:51:19.717882
-48,14:51:19.734741
-46,14:51:19.742192
-46,14:51:19.753045
-56,14:51:19.771497
-56,14:51:19.783155
-49,14:51:19.789670
-36,14:51:19.807935
-36,14:51:19.831206
-38,14:51:19.847859
-46,14:51:19.862859
-46,14:51:19.870875
-50,14:51:19.877341
-48,14:51:19.885103
-38,14:51:19.907613
-50,14:51:19.919709
-48,14:51:19.926376
-38,14:51:19.961719
-38,14:51:19.987732
-38,14:51:19.999856
-38,14:51:20.020778
-38,14:51:20.040713
-38,14:51:20.058494
-48,14:51:20.067960
