RSSI,Timestamp
-54,15:23:56.784772
-54,15:23:56.796377
-34,15:23:56.808154
-34,15:23:56.817236
-43,15:23:56.822548
-46,15:23:56.827614
-48,15:23:56.832878
-62,15:23:56.838602
-61,15:23:56.843847
-61,15:23:56.848878
-48,15:23:56.853814
-49,15:23:56.859037
-61,15:23:56.864165
-58,15:23:56.875545
-60,15:23:56.887222
-58,15:23:56.897906
-56,15:23:56.905183
-45,15:23:56.909546
-45,15:23:56.913614
-47,15:23:56.917634
-48,15:23:56.921889
-42,15:23:56.926133
-34,15:23:56.937481
-34,15:23:56.948603
-34,15:23:56.956735
-54,15:23:56.986599
-54,15:23:56.997208
-54,15:23:57.004821
-34,15:23:57.016010
-32,15:23:57.023928
-70,15:23:57.028000
-60,15:23:57.039198
-46,15:23:57.043610
-68,15:23:57.047672
-58,15:23:57.057841
-60,15:23:57.069075
-58,15:23:57.079149
-58,15:23:57.086325
-82,15:23:57.090741
-54,15:23:57.101416
-50,15:23:57.111869
-60,15:23:57.119233
-43,15:23:57.123286
-48,15:23:57.127284
-50,15:23:57.131499
-43,15:23:57.135475
-46,15:23:57.139529
-47,15:23:57.143759
-50,15:23:57.154738
-50,15:23:57.168351
-48,15:23:57.175848
-34,15:23:57.186412
-34,15:23:57.194259
-58,15:23:57.205176
-58,15:23:57.215860
-58,15:23:57.223468
-45,15:23:57.227861
-70,15:23:57.231840
-70,15:23:57.235788
-79,15:23:57.240145
-36,15:23:57.251330
-34,15:23:57.262386
-36,15:23:57.270337
-58,15:23:57.281232
-60,15:23:57.291462
-58,15:23:57.299105
-43,15:23:57.303567
-72,15:23:57.307540
-70,15:23:57.311498
-70,15:23:57.315444
-52,15:23:57.326873
-54,15:23:57.337203
-54,15:23:57.344702
-83,15:23:57.349099
-34,15:23:57.360651
-34,15:23:57.371223
-34,15:23:57.379139
-60,15:23:57.389511
-60,15:23:57.397091
-83,15:23:57.401545
-43,15:23:57.405819
-54,15:23:57.416726
-54,15:23:57.426692
-54,15:23:57.433841
-50,15:23:57.444366
-54,15:23:57.454874
-54,15:23:57.462151
-52,15:23:57.473290
-50,15:23:57.483711
-54,15:23:57.491258
-34,15:23:57.502986
-34,15:23:57.513642
-34,15:23:57.521480
-58,15:23:57.531903
-44,15:23:57.543281
-50,15:23:57.553778
-50,15:23:57.561303
-78,15:23:57.566078
-56,15:23:57.577812
-58,15:23:57.588743
-58,15:23:57.596820
-46,15:23:57.601475
-64,15:23:57.612019
-66,15:23:57.618049
-62,15:23:57.623217
-48,15:23:57.634686
-46,15:23:57.645140
-50,15:23:57.653042
-44,15:23:57.657491
-54,15:23:57.668485
-54,15:23:57.679266
-62,15:23:57.686901
-62,15:23:57.697847
-62,15:23:57.708658
-62,15:23:57.716175
-84,15:23:57.720186
-50,15:23:57.733945
-50,15:23:57.744248
-48,15:23:57.751837
-36,15:23:57.762341
-36,15:23:57.770227
-58,15:23:57.781596
-58,15:23:57.792074
-56,15:23:57.799674
-57,15:23:57.803774
-49,15:23:57.807823
-49,15:23:57.812078
-58,15:23:57.822004
-57,15:23:57.826334
-56,15:23:57.830610
-48,15:23:57.834715
-53,15:23:57.838981
-57,15:23:57.843220
-50,15:23:57.855091
-50,15:23:59.068652
-50,15:23:59.089984
-34,15:23:59.114750
-34,15:23:59.122928
-32,15:23:59.129053
-32,15:23:59.133059
-62,15:23:59.142890
-34,15:23:59.146888
-60,15:23:59.154059
-34,15:23:59.158385
-34,15:23:59.169649
-34,15:23:59.179891
-34,15:23:59.183940
-34,15:23:59.191423
-34,15:23:59.195430
-62,15:23:59.206071
-58,15:23:59.216811
-62,15:23:59.224313
-34,15:23:59.230429
-62,15:23:59.241020
-36,15:23:59.245016
-34,15:23:59.249046
-34,15:23:59.253092
-34,15:23:59.263994
-36,15:23:59.268120
-34,15:23:59.275524
-36,15:23:59.279531
-50,15:23:59.283501
-50,15:23:59.287497
-49,15:23:59.291761
-49,15:23:59.295994
-85,15:23:59.299980
-52,15:23:59.303873
-51,15:23:59.307867
-52,15:23:59.312209
-53,15:23:59.316419
-68,15:23:59.327645
-68,15:23:59.335212
-86,15:23:59.339265
-50,15:23:59.350012
-50,15:23:59.360714
-48,15:23:59.368452
-36,15:23:59.380190
-36,15:23:59.390798
-36,15:23:59.398820
-85,15:23:59.402854
-45,15:23:59.407198
-34,15:23:59.413137
-50,15:23:59.423995
-50,15:23:59.434080
-62,15:23:59.441297
-34,15:23:59.445296
-36,15:23:59.456369
-36,15:23:59.460470
-36,15:23:59.471131
-36,15:23:59.475232
-36,15:23:59.482741
-34,15:23:59.486776
-34,15:23:59.492636
-48,15:23:59.503158
-34,15:23:59.507204
-50,15:23:59.517229
-34,15:23:59.521205
-50,15:23:59.528865
-34,15:23:59.532911
-48,15:23:59.543770
-50,15:23:59.554074
-48,15:23:59.561915
-32,15:23:59.565962
-34,15:23:59.569931
-36,15:23:59.577420
-34,15:23:59.581421
-36,15:23:59.594298
-36,15:23:59.602159
-46,15:23:59.606514
-66,15:23:59.617056
-66,15:23:59.627430
-66,15:23:59.635245
-66,15:23:59.642439
-84,15:23:59.646367
-46,15:23:59.650372
-50,15:23:59.654488
-54,15:23:59.658843
-43,15:23:59.663102
-66,15:23:59.673772
-42,15:23:59.678163
-52,15:23:59.689341
-52,15:23:59.699653
-52,15:23:59.707169
-38,15:23:59.718317
-40,15:23:59.729194
-38,15:23:59.737019
-47,15:23:59.741381
-54,15:23:59.751817
-54,15:23:59.762076
-34,15:23:59.773235
-66,15:23:59.777308
-34,15:23:59.787514
-66,15:23:59.791579
-34,15:23:59.799098
-68,15:23:59.803075
-66,15:23:59.807054
-66,15:23:59.811001
-66,15:23:59.816890
-68,15:23:59.821116
-66,15:23:59.825143
-34,15:23:59.836309
-68,15:23:59.840488
-34,15:23:59.850635
-68,15:23:59.854864
-34,15:23:59.862520
-68,15:23:59.866539
-64,15:23:59.877200
-50,15:23:59.887939
-54,15:23:59.895424
-32,15:23:59.906061
-34,15:23:59.913972
-64,15:23:59.921201
-68,15:23:59.925153
-66,15:23:59.935753
-68,15:23:59.939804
-62,15:23:59.950769
-62,15:23:59.961397
-62,15:23:59.968971
-50,15:23:59.979984
-54,15:23:59.989964
-50,15:23:59.997144
-60,15:24:00.007686
-66,15:24:00.011736
-42,15:24:00.016061
-42,15:24:00.022815
-52,15:24:00.026844
